"","date","site_id","daily_mean_pm10_concentration","state","county","site_longitude","site_latitude","concurred"
"251",2018-09-25,"060670010",38,"California","Sacramento",-121.49311,38.56844,"N"
"252",2018-09-26,"060670010",47,"California","Sacramento",-121.49311,38.56844,"N"
"253",2018-09-27,"060670010",40,"California","Sacramento",-121.49311,38.56844,"N"
"254",2018-09-28,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"255",2018-09-29,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"256",2018-09-30,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"257",2018-10-01,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"258",2018-10-02,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"259",2018-10-03,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"260",2018-10-04,"060670010",8,"California","Sacramento",-121.49311,38.56844,"N"
"261",2018-10-05,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"262",2018-10-06,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"263",2018-10-07,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"264",2018-10-08,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"265",2018-10-09,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"266",2018-10-10,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"267",2018-10-11,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"268",2018-10-12,"060670010",30,"California","Sacramento",-121.49311,38.56844,"N"
"269",2018-10-13,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"270",2018-10-14,"060670010",39,"California","Sacramento",-121.49311,38.56844,"N"
"271",2018-10-15,"060670010",30,"California","Sacramento",-121.49311,38.56844,"N"
"272",2018-10-16,"060670010",46,"California","Sacramento",-121.49311,38.56844,"N"
"273",2018-10-17,"060670010",57,"California","Sacramento",-121.49311,38.56844,"N"
"274",2018-10-18,"060670010",43,"California","Sacramento",-121.49311,38.56844,"N"
"275",2018-10-19,"060670010",65,"California","Sacramento",-121.49311,38.56844,"N"
"276",2018-10-20,"060670010",44,"California","Sacramento",-121.49311,38.56844,"N"
"277",2018-10-21,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"278",2018-10-22,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"279",2018-10-23,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"280",2018-10-24,"060670010",35,"California","Sacramento",-121.49311,38.56844,"N"
"281",2018-10-25,"060670010",38,"California","Sacramento",-121.49311,38.56844,"N"
"282",2018-10-26,"060670010",41,"California","Sacramento",-121.49311,38.56844,"N"
"283",2018-10-27,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"284",2018-10-28,"060670010",7,"California","Sacramento",-121.49311,38.56844,"N"
"285",2018-10-29,"060670010",33,"California","Sacramento",-121.49311,38.56844,"N"
"286",2018-10-30,"060670010",41,"California","Sacramento",-121.49311,38.56844,"N"
"287",2018-10-31,"060670010",44,"California","Sacramento",-121.49311,38.56844,"N"
"288",2018-11-01,"060670010",49,"California","Sacramento",-121.49311,38.56844,"N"
"289",2018-11-02,"060670010",62,"California","Sacramento",-121.49311,38.56844,"N"
"290",2018-11-03,"060670010",38,"California","Sacramento",-121.49311,38.56844,"N"
"291",2018-11-04,"060670010",33,"California","Sacramento",-121.49311,38.56844,"N"
"292",2018-11-05,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"293",2018-11-06,"060670010",35,"California","Sacramento",-121.49311,38.56844,"N"
"294",2018-11-07,"060670010",43,"California","Sacramento",-121.49311,38.56844,"N"
"295",2018-11-08,"060670010",94,"California","Sacramento",-121.49311,38.56844,"N"
"296",2018-11-09,"060670010",83,"California","Sacramento",-121.49311,38.56844,"N"
"297",2018-11-10,"060670010",189,"California","Sacramento",-121.49311,38.56844,"Y"
"298",2018-11-11,"060670010",176,"California","Sacramento",-121.49311,38.56844,"Y"
"299",2018-11-12,"060670010",183,"California","Sacramento",-121.49311,38.56844,"Y"
"300",2018-11-13,"060670010",147,"California","Sacramento",-121.49311,38.56844,"N"
"301",2018-11-14,"060670010",181,"California","Sacramento",-121.49311,38.56844,"Y"
"302",2018-11-15,"060670010",292,"California","Sacramento",-121.49311,38.56844,"Y"
"303",2018-11-16,"060670010",252,"California","Sacramento",-121.49311,38.56844,"Y"
"304",2018-11-17,"060670010",145,"California","Sacramento",-121.49311,38.56844,"N"
"305",2018-11-18,"060670010",134,"California","Sacramento",-121.49311,38.56844,"N"
"306",2018-11-19,"060670010",130,"California","Sacramento",-121.49311,38.56844,"N"
"307",2018-11-20,"060670010",108,"California","Sacramento",-121.49311,38.56844,"N"
"308",2018-11-21,"060670010",52,"California","Sacramento",-121.49311,38.56844,"N"
"309",2018-11-22,"060670010",7,"California","Sacramento",-121.49311,38.56844,"N"
"310",2018-11-23,"060670010",4,"California","Sacramento",-121.49311,38.56844,"N"
"311",2018-11-24,"060670010",8,"California","Sacramento",-121.49311,38.56844,"N"
"312",2018-11-25,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"313",2018-11-26,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"314",2018-11-27,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"315",2018-11-28,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"316",2018-11-29,"060670010",4,"California","Sacramento",-121.49311,38.56844,"N"
"317",2018-11-30,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"318",2018-12-01,"060670010",8,"California","Sacramento",-121.49311,38.56844,"N"
"319",2018-12-02,"060670010",6,"California","Sacramento",-121.49311,38.56844,"N"
"320",2018-12-03,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"321",2018-12-04,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"322",2018-12-05,"060670010",9,"California","Sacramento",-121.49311,38.56844,"N"
"323",2018-12-06,"060670010",9,"California","Sacramento",-121.49311,38.56844,"N"
"324",2018-12-07,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"325",2018-12-08,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"326",2018-12-09,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"327",2018-12-10,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"328",2018-12-11,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"329",2018-12-12,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"330",2018-12-13,"060670010",34,"California","Sacramento",-121.49311,38.56844,"N"
"331",2018-12-14,"060670010",35,"California","Sacramento",-121.49311,38.56844,"N"
"332",2018-12-15,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"333",2018-12-16,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"334",2018-12-17,"060670010",9,"California","Sacramento",-121.49311,38.56844,"N"
"335",2018-12-18,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
